DOY,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,Season,high_day,Rain_DOY,Pulse_Days,Pulse_DOY
1,4.425125,4.9715625,2.54,4,80.35025395375,80.04990128083334,18.145833333333332,19.3125,0,7.510416666666667,8.608333333333334,10.393749999999999,0.16823467758058333,0.091480013309875,0.2597146909,0.12327355275837099,Winter,0,0,0,0
2,3.9544791666666668,4.87925,0,0,65.99851094354166,64.734554783125,17.9375,20,0,5.429166666666666,6.989583333333333,9.235416666666667,0.07190913408741667,0.11292248895872917,0.18483162305416667,0.06722445637773482,Winter,0,0,0,0
3,8.306520833333334,9.293166666666666,0,0,50.431206539166666,47.71184024604167,17.479166666666668,19.416666666666668,0,6.452083333333333,7.404166666666667,8.804166666666667,0.176169408890625,0.077096496019375,0.2532659049125,0.09670001601543042,Winter,0,0,0,0
4,10.160229166666667,11.174333333333333,0,0,39.151397725416665,36.23923515270833,16.979166666666668,19,0,8.008333333333333,8.860416666666667,9.38125,0.208968071455625,0.06151467164397917,0.27048274310416665,0.11255369655346843,Winter,0,0,0,0
5,9.475208333333333,10.585583333333334,0,0,54.16064897520833,51.60847355958333,16.458333333333332,18.604166666666668,0,7.716666666666667,8.747916666666667,9.627083333333333,0.27256581595027085,0.040443487134683334,0.3130093030875,0.18292571841288002,Winter,0,0,0,0
6,7.553354166666667,8.363229166666667,0,0,55.19398569145833,53.91038268145833,15.979166666666666,18,0,7.622916666666667,8.81875,9.7375,0.26879754959833335,0.024662619079791667,0.29346016867708336,0.1826247592580037,Winter,0,0,0,0
7,8.738854166666666,9.7115,0,0,46.150777923125,44.11683650229167,15.333333333333334,17.645833333333332,0,6.85,8.15,9.3375,0.151893203625625,0.061333400800625,0.21322660442708333,0.1038402309354961,Winter,0,0,0,0
8,13.606229166666667,14.829791666666667,0,0,38.63039715708334,35.662546087083335,15.291666666666666,17.4375,0,8.554166666666667,9.4375,9.510416666666666,0.08017306836583334,0.16739102205022918,0.24756409042291666,0.11463650408574734,Winter,0,0,0,0
9,14.752708333333333,15.935208333333334,0,0,36.94651893229167,34.27428289479167,15.25,17.229166666666668,0,9.825,10.554166666666667,10.297916666666667,0.277690355156875,0.0858998397075,0.3635901948625,0.2507599909944571,Winter,0,0,0,0
10,12.245916666666666,13.418333333333333,0,0,30.119474324583333,27.78991355,14.875,17,0,9.0375,10.40625,10.591666666666667,0.139156469861375,0.06389078396458334,0.203047253825,0.06472266584576913,Winter,0,0,0,0
11,11.456854166666666,12.499666666666666,0,0,28.440181909375,26.614606517291666,14.395833333333334,16.770833333333332,0,8.341666666666667,9.89375,10.34375,0.13125656711883332,0.07007409128401042,0.20133065840208333,0.06307519767128916,Winter,0,0,0,0
12,11.669104166666667,12.771770833333333,0,0,24.58145416,22.932092583333333,14.125,16.333333333333332,0,7.995833333333334,9.452083333333333,10.135416666666666,0.19909184255780418,0.08456889443416667,0.2836607369875,0.0809592566758723,Winter,0,0,0,0
13,11.65725,12.848958333333334,0,0,26.366493039583332,24.506070398333332,13.958333333333334,16,0,7.954166666666667,9.216666666666667,9.9,0.17730746577852083,0.21387420304833332,0.39118166882291666,0.08047823341234976,Winter,0,0,0,0
20,4.772291666666667,5.338666666666667,1.778,4,71.34974252,71.74580701104166,17.0625,19.020833333333332,12.5625,5.75625,6.783333333333333,8.327083333333333,0.4323694923157708,0.142977480255,0.5753469725666667,0.4302627482648408,Winter,0,0,0,0
26,2.0027083333333335,3.0254375,0,0,46.511160888125,45.253086781458336,16.9375,19.375,13.583333333333334,3.5041666666666664,5.091666666666667,7.0125,-0.012106682265791665,0.11412235046666666,0.10201566821275,0.109983506713744,Winter,0,0,0,0
27,1.1683333333333332,1.9273541666666667,0,0,49.744020306875,49.64226398708333,16.3125,19,13.229166666666666,3.0458333333333334,4.804166666666666,6.554166666666666,0.09199386927153229,0.04278501023770833,0.13477887951305687,0.38206949818359376,Winter,0,0,0,0
28,4.058291666666666,4.751270833333333,0,0,23.835386281041668,23.449027568125,16.166666666666668,18.770833333333332,12.6875,3.41875,4.8875,6.24375,0.02567667812395,0.051499116328479165,0.07717579445469375,0.12303300901016316,Winter,0,0,0,0
29,7.3065,8.024354166666667,0,0,20.728140010625,20.133991895833333,16.125,18.583333333333332,12.520833333333334,4.522916666666666,5.679166666666666,6.375,0.05319640141609792,0.033502174415,0.08669857583205626,0.12619025544115348,Winter,0,0,0,0
30,9.488291666666667,10.738479166666666,0,0,20.824394434916666,19.2723738,15.895833333333334,18.458333333333332,12.333333333333334,5.266666666666667,6.38125,6.766666666666667,0.07079643605543749,0.023025637691458333,0.0938220737459375,0.19670347201384117,Winter,0,0,0,0
