"","date","meanRECO","MeanM_15","Reco_Combined","culMeasured","culMeanMod","culModelled","diffMean","diffComb","diffMeanV","diffCombV"
"2",2013-01-01,0.092394150550625,0.221670497741422,0.183075747448792,0.092394150550625,0.221670497741422,0.183075747448792,-0.129276347190797,-0.0906815968981669,-0.129276347190797,-0.0906815968981669
"3",2013-01-02,0.144536916696875,0.224954323759498,0.18614010831354,0.2369310672475,0.446624821500921,0.369215855762332,-0.209693754253421,-0.132284788514832,-0.0804174070626234,-0.0416031916166653
"4",2013-01-03,0.134123388384375,0.243598711926715,0.20125276802317,0.371054455631875,0.690223533427635,0.570468623785502,-0.31916907779576,-0.199414168153627,-0.10947532354234,-0.0671293796387953
"5",2013-01-04,0.106991026106667,0.227561033210438,0.187823503950942,0.478045481738542,0.917784566638073,0.758292127736444,-0.439739084899532,-0.280246645997902,-0.120570007103771,-0.0808324778442751
"6",2013-01-05,0.152349821821042,0.219659712276317,0.181090458032318,0.630395303559583,1.13744427891439,0.939382585768763,-0.507048975354807,-0.308987282209179,-0.0673098904552751,-0.0287406362112767
"7",2013-01-06,0.34674145039375,0.213742386769866,0.177157752817498,0.977136753953333,1.35118666568426,1.11654033858626,-0.374049911730922,-0.139403584632927,0.132999063623884,0.169583697576252
"8",2013-01-07,0.24077825465625,0.268670282316916,0.222808300532556,1.21791500860958,1.61985694800117,1.33934863911882,-0.401941939391588,-0.121433630509234,-0.0278920276606658,0.0179699541236937
"9",2013-01-08,0.3174928324625,0.253299610324527,0.210878480074461,1.53540784107208,1.8731565583257,1.55022711919328,-0.337748717253615,-0.0148192781211949,0.064193222137973,0.106614352388039
"10",2013-01-09,0.452873888214583,0.283891207574708,0.234518284249859,1.98828172928667,2.15704776590041,1.78474540344314,-0.16876603661374,0.203536325843529,0.168982680639876,0.218355603964724
"11",2013-01-10,0.516219765402083,0.265036297337517,0.219306779704439,2.50450149468875,2.42208406323792,2.00405218314758,0.082417431450827,0.500449311541173,0.251183468064567,0.296912985697644
"12",2013-01-11,0.31304548298125,0.243584770369495,0.201119384796613,2.81754697767,2.66566883360742,2.20517156794419,0.151878144062582,0.612375409725811,0.0694607126117546,0.111926098184637
"13",2013-01-12,0.122157201426667,0.204689632166503,0.162428659439694,2.93970417909667,2.87035846577392,2.36760022738388,0.0693457133227451,0.572103951712783,-0.0825324307398368,-0.0402714580130271
"14",2013-01-13,0.150580599293542,0.213627500014207,0.163602425489495,3.09028477839021,3.08398596578813,2.53120265287338,0.00629881260207998,0.55908212551683,-0.0630469007206652,-0.0130218261959533
"15",2013-01-14,0.103965126508542,0.192219942128094,0.146503239221249,3.19424990489875,3.27620590791622,2.67770589209463,-0.0819560030174724,0.516544012804123,-0.088254815619552,-0.042538112712707
