date,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,sdSWC5,meanSWC15,sdSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco
2015-03-05,7.94675,8.016708333333334,0,0,41.642361561875,41.1588688525,16.395833333333332,0.5353386784223156,21.4375,0.5011252415386298,25.961458333333333,10.0937499999375,11.058333333333334,12.164583333333333,-0.1347469087239521,0.5439679499320833,0.4092210412041667,0.12995957737585737
2015-03-06,9.872458333333332,9.977666666666666,0,0,34.99303272541667,34.39327110229166,15.875,0.7032873461264124,20.9375,0.38062980528111673,26.134999999999998,10.6062499999375,11.402083333333334,12.045833333333333,-0.19545397713375,0.63534728849375,0.4398933113895833,0.18697152736139944
2015-03-07,12.330604166666667,12.66675,0,0,34.97950013625,33.52701124041667,15.458333333333334,0.5034663240460902,20.645833333333332,0.4832510020039735,26.296041666666667,11.7437499999375,12.472916666666666,12.39375,-0.2408141407875,0.643068981706875,0.4022548408854167,0.06737345781528951
2015-03-08,12.305020833333334,12.867708333333333,0,0,37.78571491,35.32140414458333,15.354166666666666,0.48318088858681785,20.354166666666668,0.4832510020039735,26.241458333333334,12.433333333270834,13.314583333333333,12.727083333333333,-0.27928135024375,0.7162474991858333,0.43696614895,0.07423195615039534
2015-03-09,13.109916666666667,13.645416666666666,0,0,28.958311487708333,26.588283865,15.1875,0.6409652841432611,20.166666666666668,0.3765318204201448,26.268958333333334,13.422916666666667,14.114583333333334,13.20625,-0.42569040713041667,0.9239523865583333,0.49826197941041667,0.09683683470199726
2015-03-10,14.924791666666666,15.252291666666666,0,0,19.340943453541666,18.108224059375,14.791666666666666,0.7425299185043082,19.75,0.4374401010624571,26.178958333333334,14.302083333333334,14.8875,13.766666666666666,-0.403484125703125,0.9876048570770833,0.5841207314020833,0.10215010085607158
2015-03-11,15.096875,15.4625,0,0,20.784993225,19.502314100208334,14.333333333333334,0.47639306734033093,19.270833333333332,0.44901741315991645,26.330416666666668,14.84375,15.424999999999999,14.295833333333333,-0.34952396268958336,1.0254967430291666,0.6759727803833333,0.15323957535325403
2015-03-12,14.277291666666667,14.478541666666667,0,0,32.31490683854167,31.053917781458335,14.104166666666666,0.4245848345547033,19,0,26.498958333333334,15.091666666666667,15.675,14.691666666666666,-0.26548226538458336,0.9315653972383333,0.6660831318979167,0.23907433492213556
2015-03-13,13.974375,14.239791666666667,0,0,36.70863583354167,35.5521563975,13.729166666666666,0.49399828858568917,18.979166666666668,0.14433756729740643,26.6675,14.960416666666667,15.795833333333334,14.841666666666667,-0.28610422361875,0.925945686615,0.6398414630145833,0.1079100356481002
2015-03-14,14.194791666666667,14.267916666666666,0,0,27.947941316875,27.329846903333333,13.583333333333334,0.6467120199788808,18.541666666666668,0.5034663240460902,26.56625,15.420833333333333,15.960416666666667,14.935416666666667,-0.5016850102916667,1.1888940810583333,0.6872090708041667,0.13992618438477467
2015-03-15,13.753541666666667,13.824375,0,0,26.15861633125,25.59819640125,13.270833333333334,0.4489419533509044,18.208333333333332,0.41024894469999773,26.418541666666666,15.7125,16.210416666666667,15.325,-0.57847639216125,1.2457890967258334,0.6673127046083334,0.13015282594040328
2015-03-16,15.121875,15.222708333333333,0,0,41.07629102229166,40.2174761525,13.1875,0.5706683385783993,18,0,26.225625,16.51875,16.827083333333334,15.625,-0.4645049316410417,1.1934138869295834,0.72890895533125,0.14141785369115023
2015-03-17,15.091666666666667,15.473958333333334,0.254,1,57.07435771916667,54.207354840625,12.833333333333334,0.5188761959563195,18,0,26.277083333333334,16.44375,17.127083333333335,16.05,-0.6467759618125,1.31658124179375,0.6698052800000001,0.12502563153716117
2015-03-18,11.82,11.966041666666667,12.318999999999999,9,79.77683616333333,77.05500558,14.541666666666666,4.191923271788847,18.125,0.5308927705052348,26.269166666666667,14.35,15.6375,15.8875,-0.29628107331377085,0.811536168580625,0.5152550952625,0.17485146588199224
2015-03-19,9.999875,10.073583333333334,0,0,80.23178158770833,77.901976635,20.0625,1.0190995190790908,23.125,0.5695020328513218,25.93,13.364583333333334,14.154166666666667,14.897916666666667,-0.6296462447985417,1.0501101974604166,0.4204639526958333,0.11521586947160793
2015-03-20,12.660875,12.928916666666666,0,0,55.99254769625,53.52258678270834,18.270833333333332,0.5353386784223156,22.5625,0.5013280235873938,25.866041666666668,14.189583333333333,14.527083333333334,14.591666666666667,-0.6961285182245833,1.1295209215833333,0.43339240340208335,0.10900556151808248
2015-03-21,13.998770833333333,14.533125,0,0,42.974871794375,39.74633074979167,17.270833333333332,0.5354019615739646,21.666666666666668,0.476321944453152,25.763958333333335,15.25625,15.39375,15.033333333333333,-0.9893971070166666,1.4693768529479168,0.4799797459520833,0.18119184170079294
2015-03-22,15.479791666666667,16.27375,0,0,35.774803632291665,31.732893715625,16.416666666666668,0.5391146651310617,20.979166666666668,0.14433756729740643,25.786041666666666,16.433333333333334,16.458333333333332,15.525,-1.095115219606875,1.5271585002270833,0.4320432806291667,0.1313211634596696
2015-03-23,16.595625,17.298541666666665,0,0,26.041655372291668,23.164190828541667,15.6875,0.6888619332103488,20.020833333333332,0.14410264914648815,25.6475,16.685416666666665,17.204166666666666,16.15625,-1.10425557829375,1.5420560764166666,0.43780049805416665,0.18016498463268585
2015-03-24,16.384166666666665,17.151666666666667,0,0,19.370041688583335,16.99284758883333,15.125,0.639768261729133,19.458333333333332,0.503331719409663,25.725833333333334,17.05,17.539583333333333,16.36875,-1.192842438071875,1.6187727461895833,0.42593030812916666,0.2587273274658799
