"","date","meanRsoil","max_pulse_duration","PulseM_15","NonPulseM_15","MeanM_15","case_when(...)","Rsoil_Combined"
"1",2017-01-01,0.146041666666667,14,0.381437622975156,0.366656613676057,0.340206842785082,0.381437622975156,0.381437622975156
"2",2017-01-02,0.170888888888889,14,0.350597789274636,0.353509424597477,0.324349878614613,0.350597789274636,0.350597789274636
"3",2017-01-03,0.2285,14,0.364195238429131,0.346142097487762,0.329041634537716,0.364195238429131,0.364195238429131
"4",2017-01-04,0.330902777777778,14,0.390297232887931,0.350171844854525,0.343458098884606,0.390297232887931,0.390297232887931
"5",2017-01-05,0.344618055555556,14,0.377466134406713,0.334247276417181,0.333621721415666,0.377466134406713,0.377466134406713
"6",2017-01-06,0.330243055555556,0,0.373133020135553,0.324378326261909,0.329504963706221,0.324378326261909,0.324378326261909
"7",2017-01-07,0.295902777777778,0,0.368285593343837,0.325990633418067,0.332219337132896,0.325990633418067,0.325990633418067
"8",2017-01-08,0.352152777777778,0,0.412691672798241,0.366044885758805,0.374803800884366,0.366044885758805,0.366044885758805
"9",2017-01-09,0.375590277777778,0,0.428804382114727,0.352180061487999,0.373046889363392,0.352180061487999,0.352180061487999
"10",2017-01-10,0.362083333333333,0,0.408839342535833,0.335792455083602,0.358399657438323,0.335792455083602,0.335792455083602
"11",2017-01-11,0.346527777777778,0,0.397698841146887,0.329952549547374,0.352991050433697,0.329952549547374,0.329952549547374
"12",2017-01-12,0.322743055555556,0,0.391643490433079,0.328226431345709,0.351720284731776,0.328226431345709,0.328226431345709
"13",2017-01-13,0.303055555555556,0,0.402306852273839,0.35785009724037,0.376841913741115,0.35785009724037,0.35785009724037
"14",2017-01-14,0.322159090909091,8,0.4248091773778,0.361531357855332,0.382119352133597,0.4248091773778,0.4248091773778
"15",2017-01-15,0.129583333333333,8,0.385686054385745,0.374599159948188,0.330301493649516,0.385686054385745,0.385686054385745
"16",2017-01-16,0.16452380952381,8,0.390905544751288,0.402182253271458,0.360191378973806,0.390905544751288,0.390905544751288
"17",2017-01-17,0.206722222222222,8,0.380850299237479,0.381433024072517,0.35180017232185,0.380850299237479,0.380850299237479
"18",2017-01-18,0.185657894736842,8,0.366389307728715,0.382214504264561,0.353330579728472,0.366389307728715,0.366389307728715
"19",2017-01-19,0.241006944444444,8,0.367794009391593,0.383994428891749,0.358399200839652,0.367794009391593,0.367794009391593
"20",2017-01-20,0.244270833333333,8,0.356279483918201,0.348923113064014,0.333858527771138,0.356279483918201,0.356279483918201
"21",2017-01-21,0.111875,8,0.366126163569162,0.4127625037942,0.349752180081774,0.366126163569162,0.366126163569162
"22",2017-01-22,0.213869047619048,8,0.360739322511392,0.408124607363622,0.358916225649361,0.360739322511392,0.360739322511392
"23",2017-01-23,0.27231884057971,8,0.375114526462274,0.379962844815704,0.35142280162916,0.375114526462274,0.375114526462274
"24",2017-01-24,0.230173611111111,8,0.373023641094769,0.379589021059706,0.351293979987928,0.373023641094769,0.373023641094769
"25",2017-01-25,0.212465277777778,8,0.331415066830101,0.337701352520062,0.314824431688625,0.331415066830101,0.331415066830101
"26",2017-01-26,0.205,8,0.324634254226875,0.329179040944877,0.309529875820942,0.324634254226875,0.324634254226875
"27",2017-01-27,0.199791666666667,8,0.316679394980951,0.309167113462091,0.295875845015529,0.316679394980951,0.316679394980951
"28",2017-01-28,0.211736111111111,8,0.320387074253648,0.311240813397862,0.299535334169937,0.320387074253648,0.320387074253648
"29",2017-01-29,0.229652777777778,0,0.338285998768647,0.316027066709883,0.308538023573857,0.316027066709883,0.316027066709883
"30",2017-01-30,0.250138888888889,0,0.348539033168865,0.317535088784319,0.313656327464525,0.317535088784319,0.317535088784319
"31",2017-01-31,0.286284722222222,0,0.370336433342876,0.323987652977718,0.325713493272807,0.323987652977718,0.323987652977718
"32",2017-02-01,0.29,0,0.385412579465127,0.337891357474751,0.340854034602368,0.337891357474751,0.337891357474751
"33",2017-02-02,0.308333333333333,0,0.379220082027212,0.322617226285278,0.331154640398422,0.322617226285278,0.322617226285278
"34",2017-02-03,0.401833333333333,0,0.445392609742839,0.351985935366389,0.371954478421993,0.351985935366389,0.351985935366389
"35",2017-02-04,0.332638888888889,0,0.403000073913839,0.327382991648543,0.345947355257545,0.327382991648543,0.327382991648543
"36",2017-02-05,0.363472222222222,0,0.425900675896603,0.334594785120118,0.359441776266875,0.334594785120118,0.334594785120118
"37",2017-02-06,0.332395833333333,0,0.424951066296028,0.340671744664709,0.366181601731452,0.340671744664709,0.340671744664709
