"","date","meanRsoil","MeanM_15","Rsoil_Combined","culMeasured","culMeanMod","culModelled","diffMean","diffComb","diffMeanV","diffCombV"
"1",2017-01-01,0.146041666666667,0.340206842785082,0.381437622975156,0.146041666666667,0.340206842785082,0.381437622975156,-0.194165176118415,-0.235395956308489,-0.194165176118415,-0.235395956308489
"2",2017-01-02,0.170888888888889,0.324349878614613,0.350597789274636,0.316930555555556,0.664556721399695,0.732035412249792,-0.347626165844139,-0.415104856694236,-0.153460989725724,-0.179708900385747
"3",2017-01-03,0.2285,0.329041634537716,0.364195238429131,0.545430555555556,0.993598355937411,1.09623065067892,-0.448167800381855,-0.550800095123366,-0.100541634537716,-0.135695238429131
"4",2017-01-04,0.330902777777778,0.343458098884606,0.390297232887931,0.876333333333334,1.33705645482202,1.48652788356685,-0.460723121488682,-0.610194550233519,-0.0125553211068277,-0.0593944551101527
"5",2017-01-05,0.344618055555556,0.333621721415666,0.377466134406713,1.22095138888889,1.67067817623768,1.86399401797357,-0.449726787348792,-0.643042629084676,0.0109963341398904,-0.0328480788511565
"6",2017-01-06,0.330243055555556,0.329504963706221,0.324378326261909,1.55119444444445,2.0001831399439,2.18837234423547,-0.448988695499457,-0.637177899791029,0.000738091849334654,0.00586472929364695
"7",2017-01-07,0.295902777777778,0.332219337132896,0.325990633418067,1.84709722222222,2.3324024770768,2.51436297765354,-0.485305254854575,-0.667265755431317,-0.0363165593551177,-0.0300878556402887
"8",2017-01-08,0.352152777777778,0.374803800884366,0.366044885758805,2.19925,2.70720627796116,2.88040786341235,-0.507956277961163,-0.681157863412345,-0.0226510231065881,-0.013892107981027
"9",2017-01-09,0.375590277777778,0.373046889363392,0.352180061487999,2.57484027777778,3.08025316732456,3.23258792490035,-0.505412889546777,-0.657747647122565,0.00254338841438628,0.0234102162897794
"10",2017-01-10,0.362083333333333,0.358399657438323,0.335792455083602,2.93692361111111,3.43865282476288,3.56838037998395,-0.501729213651767,-0.631456768872835,0.0036836758950099,0.0262908782497305
"11",2017-01-11,0.346527777777778,0.352991050433697,0.329952549547374,3.28345138888889,3.79164387519658,3.89833292953132,-0.508192486307685,-0.614881540642431,-0.00646327265591906,0.0165752282304036
"12",2017-01-12,0.322743055555556,0.351720284731776,0.328226431345709,3.60619444444445,4.14336415992835,4.22655936087703,-0.537169715483906,-0.620364916432584,-0.0289772291762201,-0.00548337579015329
"13",2017-01-13,0.303055555555556,0.376841913741115,0.35785009724037,3.90925,4.52020607366947,4.5844094581174,-0.610956073669465,-0.675159458117398,-0.0737863581855587,-0.0547945416848138
