DOY,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,Season,high_day,Rain_DOY,Pulse_Days,Pulse_DOY
1,14.296458333333334,15.67375,0,0,18.282911628333334,17.009642920416667,1793.1125,293.87287516112764,-0.1339529109574468,-1.5814555568541664,40.76111237479851,0.12091218666666667,0.038311850596875,0.174930686745,0.21324253734166668,0.034620812526340125,Winter,0,0,0,0
2,12.88125,14.24375,0,0,17.308347336041667,16.224090469583334,982.9104166666667,478.46133975108575,-0.37686315685931426,-3.3963525608125,36.258529996200004,0.18168501125,0.049798911842958336,0.14715550171416666,0.19695441355208335,0.03712584702627875,Winter,0,0,0,0
3,10.612729166666666,11.436270833333333,0,0,17.653440828958335,17.425625777916668,1080.1041666666667,415.35774949510636,0.4263822893381489,-2.1194753458875004,16.51500598406383,0.27290691145833335,0.11331393158670833,0.10469008612354166,0.21800401771458333,0.0699453451660314,Winter,0,0,0,0
4,11.287708333333333,12.480208333333334,0,0,32.808534353333336,31.585077457291668,1290.34375,80.01620172326362,-0.268878838578087,-2.3753448822625,27.85403140961587,0.14663886145833332,0.03603713919839584,0.17679260938995417,0.21282974856875,0.03573828309499169,Winter,0,0,0,0
5,13.2159375,14.761041666666667,0,0,31.528625134791668,29.46721550270833,1558.2083333333333,675.8436399001364,-0.3124023071684311,-3.7493067655625003,54.631981230844225,0.14335531791666667,0.08379802729687501,0.20730670290604167,0.29110473019791666,0.06619367524569765,Winter,0,0,0,0
6,14.010208333333333,15.17375,0,0,23.005901374375,21.960952763125,1467.96875,306.4630137072128,0.12418906853361703,1.6168939974166665,28.809317492643615,0.163761335625,0.09845806928770834,0.27691198896725,0.3753700582645833,0.0827234346965698,Winter,0,0,0,0
7,12.214375,13.408541666666666,0,0,35.39097676875,33.833515964375,1484.2916666666667,156.8548889582,0.010551971502666674,-3.5612221293749995,31.35084790910889,0.1560580175,0.18313275846395832,0.2307256222575,0.41385838071666664,0.0702562505145391,Winter,0,0,0,0
8,13.465416666666666,14.636041666666667,0,0,38.488073452291665,36.841079325416665,1635.6041666666667,187.33814592024376,-0.2083459513815625,2.4740205925479173,25.941627400472917,0.15977288708333334,0.21480564719270834,0.30174132804375,0.5165469752458334,0.09092664419133306,Winter,0,0,0,0
9,13.677708333333333,14.714375,0,0,40.95873463458334,39.92528514625,-1319.3854166666667,336.5623605115,0.688705642904375,-0.3323559689854168,0.4788404533958336,0.3383202622916667,0.30733124722166666,0.307282852225,0.6146140994458333,0.16440839677334598,Winter,0,0,0,0
10,6.5045,7.1633125,1.524,2,74.90663219125,75.161306391875,1883.6104166666667,2233.0165685843244,2.41761353980375,-14.469658841854166,11.765062265063829,0.353295299375,0.4342743888959583,0.11560979094916667,0.5498841798479167,0.42473464222256035,Winter,0,0,0,0
11,7.105875,8.061666666666667,0,0,65.12977744333334,64.210257206875,3023.172916666667,1051.0952121930952,0.2022922006904878,-6.792248466875,36.149399712488375,0.20270949541666666,0.137049059862,0.269950916552375,0.40699997640208335,0.10150728251538411,Winter,0,0,0,0
12,11.2203125,12.5704375,0,0,29.90835342625,27.9175376025,1912.3395833333334,1121.8697714883601,-0.126530965183,-3.9345480743750003,49.08705881038409,0.18026344354166668,0.13778723598183334,0.28253722660416664,0.42032446258541667,0.09450254742953502,Winter,0,0,0,0
13,11.657604166666667,12.607104166666666,0,0,26.720670434791668,25.804556687916666,1104.4729166666666,738.392494174871,-0.5116548509403226,-2.5465552649375005,62.05300996181355,0.2874123335416667,0.033761384279583334,0.239282070957625,0.27304345524375,0.04905831911197688,Winter,0,0,0,0
14,12.110312500000001,13.416666666666666,0,0,22.364461742708333,21.208778043541667,1072.6583333333333,588.3211895061244,-0.47676512031837837,-2.8292137348958333,50.44669485034054,0.20372803791666666,-0.030940062121458334,0.18112498899895835,0.15018492687291668,0.04111585594335823,Winter,0,0,0,0
15,12.741666666666667,14.4925,0,0,21.341523381666665,19.485690496458332,1398.7770833333334,394.1694418174188,-0.35711318846145834,-2.7216921579166664,38.886128304225004,0.12329276979166666,-0.05237879367979167,0.11906940040708333,0.06669060674333334,0.05284151059847188,Winter,0,0,0,0
16,7.6370625,8.425541666666668,0,0,31.21085143375,31.441262238333334,2848.21875,214.608705912775,-0.516405693314,-5.4087118583125005,49.832598303995,0.28350309041666666,-0.07400024050562501,0.15273801108458335,0.07873777059354167,0.10735482553343759,Winter,0,0,0,0
17,5.7798125,6.587791666666667,0,0,34.04795706479167,34.578511086875,2555.5916666666667,242.13282836466843,-1.210920564244737,-7.359027873270833,42.8088311898421,0.29379096770833335,-0.215647216505625,0.3156670037799167,0.10001978727625,0.11548034777170407,Winter,0,0,0,0
18,8.6296875,9.791458333333333,0,0,28.745178073541666,28.040789893541668,2114.1604166666666,304.737033960575,-0.949432449679225,-4.243314461458334,53.72819307432615,0.19273269208333332,-0.07898811650571251,0.25173154486625,0.17274342836333334,0.05396634626609625,Winter,0,0,0,0
19,11.684583333333334,13.115625,0,0,22.279862482604166,20.947802554791668,1925.35625,346.2645549522646,-0.44779126767291666,-0.822487777041667,44.0024337951875,0.15125422354166668,0.052123008432708326,0.248952326405625,0.3010753348395833,0.08793469667914318,Winter,0,0,0,0
20,9.5173125,10.286583333333333,2.54,3,41.196111883125,40.95832327145833,2692.7291666666665,436.2875964964349,1.4672144819755,-4.803577687983333,33.14762682152083,0.4158089625,0.30262537050417915,0.18479051027979165,0.48741588078541664,0.4421080993153928,Winter,0,0,0,0
21,0.707875,1.5689791666666666,0,0,49.486084268333336,49.280554528125,2776.1666666666665,2385.2314472835897,0.637561247460625,-21.354254820875,29.621781196854165,0.23554182333333334,0.15284800194529166,0.09716361670416666,0.25001161865,0.16703491639327583,Winter,0,0,0,0
22,2.4813958333333335,3.6406875,0,0,32.35867703666667,31.826081054375,1533.5625,770.360438892475,-0.9657680337788571,-10.748767677041668,28.632460837239286,0.22117237833333334,-0.040900790043958336,0.22630829684104167,0.18540750679083334,0.0797201809233141,Winter,0,0,0,0
23,5.8664375,6.834979166666667,0,0,16.551064946125,16.3425729884375,2146.4645833333334,646.3829322027777,0.1150337306882353,-5.4480041788125,13.171895541722224,0.284292511875,0.09075459484779166,0.11485206815583333,0.20560666299583333,0.1093844724327077,Winter,0,0,0,0
24,7.629291666666667,8.887291666666666,0,0,14.421074877854167,13.92975613125,2348.235416666667,594.2137276455813,1.4884189968853487,-4.128845478875,50.27196023630233,0.306114419375,0.30756600651989585,0.06355237802991667,0.37111838455020835,0.3907527474662792,Winter,0,0,0,0
25,9.818895833333332,10.781166666666666,0,0,15.4208379428125,15.415228954875,2308.2708333333335,606.5591356897041,0.10496007453041667,-1.4102809744791664,36.33068458389583,0.23617243395833334,0.019088491987625,0.09917991942133333,0.11826841140666666,0.05389414384311162,Winter,0,0,0,0
26,9.25825,10.619125,0,0,17.26439856325,16.455695106979167,2937.358333333333,576.7427230667447,0.014518996707872354,-3.7866343063333328,45.828193826983615,0.21041616270833333,0.035151190449312496,0.07809385236652083,0.11324504281291667,0.11878367648112585,Winter,0,0,0,0
27,9.718770833333334,10.575395833333333,0,0,16.461402718916666,16.401864618333335,2274.3729166666667,499.0728560917778,9.865796470370218e-4,0.11211980108333323,82.66251042637037,0.2829330475,0.047999537965,0.06306259183210416,0.11106212979708333,0.12042810202193696,Winter,0,0,0,0
28,10.335645833333333,11.5415,0,0,12.444353324645833,12.475092621833333,2457.53125,312.9903873424324,0.3806832179373243,-2.44712288943125,48.47859134467568,0.2711468077083333,0.07628770141625,0.05637415668645833,0.13266185810354167,0.15257403196881997,Winter,0,0,0,0
29,11.209166666666667,12.2384375,0,0,14.843036594291666,14.642959867083333,2491.7520833333333,222.62071615195745,1.5198320227161701,-0.2171043941875,40.208384327425534,0.3434662566666667,0.3402078160126042,0.025158291629270833,0.36536610764,0.5036893064101677,Winter,0,0,0,0
30,12.616791666666666,13.657041666666666,0,0,20.6976862145625,20.126873598958333,2540.983333333333,333.684092405,-0.33382897588200006,1.7634714710000001,54.503020355400004,0.229371849375,0.005425968221666668,0.12508353670016667,0.13050950491916666,0.14003066653216792,Winter,0,0,0,0
31,14.444583333333334,16.051666666666666,0,0,11.908267990416666,11.468470584708333,2460.9354166666667,608.7541160071333,0.09246231425880001,-0.2778291099374995,47.39139030964,0.14526522104166667,0.05069884270927084,0.10621163026172709,0.15691047296416666,0.12149204096003681,Winter,0,0,0,0
32,14.714375,16.234166666666667,0,0,9.199219268166667,9.264398875833333,2761.2083333333335,399.432102444363,0.16324915148456523,0.27927952243750065,49.15721980695218,0.16177856229166668,0.09498314613270833,0.07852629011858334,0.17350943625208334,0.06493522292347073,Winter,0,0,0,0
33,14.220416666666667,15.771666666666667,0,0,13.662581367604167,13.043825030416667,4089.5,355.65606474465596,0.20493111373042555,4.251343368124999,49.22600849862979,0.14763255749999998,0.09834410900791667,0.10127418154541666,0.19961829055208333,0.07144895429454234,Winter,0,0,0,0
34,12.344520833333334,13.615208333333333,0,0,21.556978066375,20.385532009375,3933.16875,397.12281317049167,0.10892669572208334,-0.4878815120562496,45.72109261680438,0.21653830854166667,0.07629097222875,0.10633395300979166,0.1826249252375,0.06293069300382446,Winter,0,0,0,0
35,13.311145833333333,14.798333333333334,0,0,19.993395567708333,18.755146355833332,3586.375,267.23289996629785,0.05890545598717391,1.453876979625,53.32697574119565,0.13806699583333334,0.116428483883125,0.07384692417625,0.19027540805645834,0.15668781204957855,Winter,0,0,0,0
36,13.871875000000001,15.324166666666667,0,0,21.325893101458334,19.981797261875002,3948.6041666666665,422.36911933690834,0.0011819485965583244,1.8029425059791662,50.50670941880625,0.150326674375,0.052813800828125,0.08656809476354166,0.13938189560833333,0.10816322660950375,Winter,0,0,0,0
37,13.222083333333334,14.376458333333334,0,0,21.265629388958335,20.373871669166668,3502.5520833333335,329.16587262839585,-0.044179699648541675,-0.36759904268750054,40.263674800747914,0.192884818125,-0.007623926080208332,0.07491437720875,0.067290451125,0.06699394724837894,Winter,0,0,0,0
38,11.621125,12.438333333333333,0,0,22.740727866875,22.425811283125,3349.6625,373.09704088894733,-0.48675275197315787,-0.4272546613333333,63.09366636768421,0.306291449375,0.007932389308125003,0.0501382153908125,0.058070604698333333,0.08573618533332357,Winter,0,0,0,0
39,12.938625,14.146041666666667,0,0,15.071031394458334,14.846747542666666,3594.8958333333335,518.383024581,0.21547048996794763,-0.029157925416666376,59.953799823733334,0.22104517291666667,0.049372873082405205,0.06213121185020833,0.11150408493239583,0.20729176608342137,Winter,0,0,0,0
40,15.556041666666667,16.800208333333334,0,0,11.755258515729167,11.632650725020833,4063.425,403.38751789536167,0.13912273307765957,1.8125365036875003,51.88704824104787,0.15014547916666668,0.032297098577687505,0.0389922666798125,0.07128936525833333,0.12486578107378067,Winter,0,0,0,0
41,13.405208333333334,14.447916666666666,0,0,16.223772024333332,15.906824952291666,4547.520833333333,462.43470763216663,-0.2752182841550833,0.21372975264583327,55.05466640346667,0.25755071458333334,-0.04055126019093125,0.0914635050505625,0.05091224485945833,0.10275663158994856,Winter,0,0,0,0
42,11.715895833333333,12.520208333333333,0,0,34.45001540375,34.182051253125,3866.025,-238.9975151268085,-0.06470323550063829,0.5293643096875,52.54839542342553,0.2612845922916667,-0.012878859629708335,0.07800404553854166,0.06512518590877084,0.10805092353421059,Winter,0,0,0,0
43,10.722291666666667,11.51825,0,0,43.77036738875,43.55804532979167,4806.166666666667,229.83053684395833,0.13737153331347918,-0.24536698160000017,60.16925443708333,0.3738492689583333,0.025316566472083336,0.062511847315625,0.08782841378647917,0.12616331563768238,Winter,0,0,0,0
