"","date","meanRECO","max_pulse_duration","PulseM_15","NonPulseM_15","MeanM_15","case_when(...)","Reco_Combined"
"2",2013-01-01,0.092394150550625,0,0.300852776679027,0.183075747448792,0.221670497741422,0.183075747448792,0.183075747448792
"3",2013-01-02,0.144536916696875,0,0.307941009879717,0.18614010831354,0.224954323759498,0.18614010831354,0.18614010831354
"4",2013-01-03,0.134123388384375,0,0.320031183079991,0.20125276802317,0.243598711926715,0.20125276802317,0.20125276802317
"5",2013-01-04,0.106991026106667,0,0.314639376865708,0.187823503950942,0.227561033210438,0.187823503950942,0.187823503950942
"6",2013-01-05,0.152349821821042,0,0.311063490348692,0.181090458032318,0.219659712276317,0.181090458032318,0.181090458032318
"7",2013-01-06,0.34674145039375,0,0.32027893093004,0.177157752817498,0.213742386769866,0.177157752817498,0.177157752817498
"8",2013-01-07,0.24077825465625,0,0.362104835218736,0.222808300532556,0.268670282316916,0.222808300532556,0.222808300532556
"9",2013-01-08,0.3174928324625,0,0.368264167141723,0.210878480074461,0.253299610324527,0.210878480074461,0.210878480074461
"10",2013-01-09,0.452873888214583,0,0.3715344596529,0.234518284249859,0.283891207574708,0.234518284249859,0.234518284249859
"11",2013-01-10,0.516219765402083,0,0.378232257930619,0.219306779704439,0.265036297337517,0.219306779704439,0.219306779704439
"12",2013-01-11,0.31304548298125,0,0.358710465694017,0.201119384796613,0.243584770369495,0.201119384796613,0.201119384796613
"13",2013-01-12,0.122157201426667,0,0.277343699090707,0.162428659439694,0.204689632166503,0.162428659439694,0.162428659439694
"14",2013-01-13,0.150580599293542,0,0.272234410832258,0.163602425489495,0.213627500014207,0.163602425489495,0.163602425489495
"15",2013-01-14,0.103965126508542,0,0.260122573939322,0.146503239221249,0.192219942128094,0.146503239221249,0.146503239221249
"16",2013-01-15,0.112351659145833,0,0.254978733971165,0.149879259300446,0.204028879484878,0.149879259300446,0.149879259300446
"17",2013-01-16,0.1607700780475,0,0.277555654912004,0.160663097794133,0.207008925488529,0.160663097794133,0.160663097794133
"18",2013-01-17,0.171256472262917,0,0.322758454402531,0.18614221858339,0.22849613909404,0.18614221858339,0.18614221858339
"19",2013-01-18,0.165368881367292,0,0.340780043944862,0.184235618877831,0.224768555897481,0.184235618877831,0.184235618877831
"20",2013-01-19,0.194698631025417,0,0.384215209603363,0.208190807040461,0.252088905414526,0.208190807040461,0.208190807040461
"21",2013-01-20,0.2230300627,0,0.428975399029914,0.218857113294017,0.262443872635415,0.218857113294017,0.218857113294017
"22",2013-01-21,0.245126368914583,0,0.462802842391793,0.231269904191771,0.276085467699896,0.231269904191771,0.231269904191771
"23",2013-01-22,0.3484352444875,0,0.477863644344645,0.239942894348143,0.286946035926131,0.239942894348143,0.239942894348143
"24",2013-01-23,0.30801525773125,0,0.482706857357712,0.243207950155002,0.291740203463291,0.243207950155002,0.243207950155002
"25",2013-01-24,0.332794466420833,0,0.523517963202739,0.269391256294296,0.322659707793218,0.269391256294296,0.269391256294296
"26",2013-01-25,0.389027791391667,0,0.55330088558664,0.276006727096782,0.330353419781704,0.276006727096782,0.276006727096782
"27",2013-01-26,0.502898641970833,8,0.572755401577402,0.318319531354511,0.384754069941624,0.572755401577402,0.572755401577402
"28",2013-01-27,0.401064975204167,8,0.505782038245964,0.258256232146215,0.301025927093224,0.505782038245964,0.505782038245964
"29",2013-01-28,0.421825779418542,8,0.449644892540702,0.256211294168288,0.301934597665408,0.449644892540702,0.449644892540702
"30",2013-01-29,0.171882982218542,8,0.331876917334525,0.184418570712827,0.22268762233602,0.331876917334525,0.331876917334525
"31",2013-01-30,0.224859910696042,8,0.323003363861344,0.18701125328371,0.227665587090063,0.323003363861344,0.323003363861344
"32",2013-01-31,0.237168979152083,8,0.347869695730244,0.198929414599802,0.239296432021494,0.347869695730244,0.347869695730244
"33",2013-02-01,0.250442894558333,8,0.37788244770448,0.215630618487632,0.257238685691683,0.37788244770448,0.37788244770448
"34",2013-02-02,0.389813684833333,8,0.417679137134368,0.22488185488046,0.265668301684146,0.417679137134368,0.417679137134368
"35",2013-02-03,0.389346967864583,0,0.455853733699136,0.244141980620117,0.286615852932211,0.244141980620117,0.244141980620117
"36",2013-02-04,0.376140784264583,0,0.460348734204842,0.24944356103336,0.29262360658796,0.24944356103336,0.24944356103336
"37",2013-02-05,0.449865896077083,0,0.484822699922942,0.276936006959995,0.325019855204015,0.276936006959995,0.276936006959995
"38",2013-02-06,0.468676007091667,0,0.477071707936632,0.26657601737739,0.312821961649676,0.26657601737739,0.26657601737739
"39",2013-02-07,0.50043721826875,0,0.480411776846023,0.284113014608381,0.334610020196223,0.284113014608381,0.284113014608381
"40",2013-02-08,0.631743817341667,0,0.461221006934754,0.26111650815989,0.30840604084772,0.26111650815989,0.26111650815989
"41",2013-02-09,0.33015483428125,0,0.393725763973799,0.214688501693789,0.256734098431164,0.214688501693789,0.214688501693789
"42",2013-02-10,0.197444641214583,0,0.353195966339078,0.202860834805897,0.246363906868723,0.202860834805897,0.202860834805897
"43",2013-02-11,0.115767638234375,0,0.337630066137716,0.194413924626109,0.237551177937546,0.194413924626109,0.194413924626109
"44",2013-02-12,0.0953826460861138,0,0.358238259964523,0.1888559940208,0.226619140857726,0.1888559940208,0.1888559940208
"45",2013-02-13,0.0440816717531083,0,0.351208194928461,0.203140786378079,0.242756281514914,0.203140786378079,0.203140786378079
