Date,House,Plot,W,S,Port,Flux,R2,Tchamb.,
2020-07-14 0:02:43,1,2,2,2,1,7.48,0.9838,30.27,
2020-07-14 0:06:13,1,4,1,1,2,0.93,0.971,30.04,
2020-07-14 0:13:16,1,7,2,1,4,0.73,0.9076,29.25,
2020-07-14 0:16:49,1,8,1,4,5,0.54,0.9759,29.22,
2020-07-14 0:23:55,1,10,2,3,7,0.38,0.9513,28.48,
2020-07-14 0:27:27,1,12,2,4,8,0.39,0.9684,28.51,
2020-07-14 1:02:43,1,2,2,2,1,6.20,0.9953,27.71,
2020-07-14 1:06:17,1,4,1,1,2,0.50,0.9529,27.69,
2020-07-14 1:13:19,1,7,2,1,4,0.76,0.9153,26.99,
2020-07-14 1:16:48,1,8,1,4,5,0.72,0.9702,27.23,
2020-07-14 1:20:17,1,9,1,2,6,0.37,0.942,27.19,
2020-07-14 1:23:46,1,10,2,3,7,0.45,0.9628,26.8,
2020-07-14 1:27:15,1,12,2,4,8,0.41,0.9503,26.86,
2020-07-14 2:02:43,1,2,2,2,1,6.18,0.9962,26.74,
2020-07-14 2:06:17,1,4,1,1,2,1.06,0.9842,26.58,
2020-07-14 2:13:18,1,7,2,1,4,0.55,0.9407,26.31,
2020-07-14 2:16:48,1,8,1,4,5,0.61,0.9608,26.32,
2020-07-14 2:20:17,1,9,1,2,6,0.41,0.9575,26.11,
2020-07-14 2:23:46,1,10,2,3,7,1.09,0.9563,26.31,
2020-07-14 2:27:15,1,12,2,4,8,0.43,0.9755,26.42,
2020-07-14 3:02:43,1,2,2,2,1,5.42,0.9823,26.76,
2020-07-14 3:06:16,1,4,1,1,2,0.55,0.9573,27.74,
2020-07-14 3:13:20,1,7,2,1,4,0.41,0.9078,26.91,
2020-07-14 3:16:50,1,8,1,4,5,0.37,0.9483,26.57,
2020-07-14 3:23:55,1,10,2,3,7,0.33,0.9621,25.88,
2020-07-14 3:27:28,1,12,2,4,8,0.65,0.9842,25.57,
2020-07-14 4:02:43,1,2,2,2,1,7.68,0.9982,25.28,
2020-07-14 4:06:15,1,4,1,1,2,0.64,0.9671,25.4,
2020-07-14 4:13:16,1,7,2,1,4,0.77,0.98,25.03,
2020-07-14 4:16:46,1,8,1,4,5,0.52,0.9834,24.91,
2020-07-14 4:20:19,1,9,1,2,6,0.50,0.9389,24.54,
2020-07-14 4:27:21,1,12,2,4,8,0.51,0.9252,24.23,
2020-07-14 5:02:43,1,2,2,2,1,7.86,0.9958,24.71,
2020-07-14 5:06:14,1,4,1,1,2,0.61,0.9669,24.94,
2020-07-14 5:16:47,1,8,1,4,5,0.50,0.9594,24.72,
2020-07-14 5:20:20,1,9,1,2,6,0.30,0.9455,24.51,
2020-07-14 5:23:49,1,10,2,3,7,1.07,0.9728,24.62,
2020-07-14 5:27:18,1,12,2,4,8,0.36,0.9601,24.63,
2020-07-14 6:02:43,1,2,2,2,1,5.96,0.9952,24.07,
2020-07-14 6:06:13,1,4,1,1,2,0.52,0.9657,24.12,
2020-07-14 6:13:18,1,7,2,1,4,0.31,0.957,24.1,
2020-07-14 6:16:51,1,8,1,4,5,0.96,0.9479,24.43,
2020-07-14 6:20:24,1,9,1,2,6,0.73,0.9728,24.43,
2020-07-14 6:23:53,1,10,2,3,7,0.29,0.9337,24.78,
2020-07-14 6:27:26,1,12,2,4,8,0.41,0.9357,25.56,
2020-07-14 7:02:43,1,2,2,2,1,6.58,0.9956,30.23,
2020-07-14 7:06:17,1,4,1,1,2,0.53,0.9811,29.76,
2020-07-14 7:13:18,1,7,2,1,4,0.33,0.9381,31.14,
2020-07-14 7:16:50,1,8,1,4,5,1.44,0.9886,31.55,
2020-07-14 7:20:19,1,9,1,2,6,0.45,0.9323,30.58,
2020-07-14 7:23:48,1,10,2,3,7,0.47,0.9886,31.03,
2020-07-14 7:27:21,1,12,2,4,8,0.35,0.9728,31.03,
2020-07-14 8:02:43,1,2,2,2,1,7.42,0.9906,35.12,
2020-07-14 8:06:16,1,4,1,1,2,0.65,0.9752,35.01,
2020-07-14 8:13:15,1,7,2,1,4,0.33,0.9587,35.16,
2020-07-14 8:16:48,1,8,1,4,5,0.47,0.9727,36.14,
2020-07-14 8:20:17,1,9,1,2,6,0.46,0.9455,35.88,
2020-07-14 8:23:46,1,10,2,3,7,0.51,0.9576,35.24,
2020-07-14 9:02:43,1,2,2,2,1,7.16,0.9869,37.7,
2020-07-14 9:06:14,1,4,1,1,2,0.46,0.979,37.54,
2020-07-14 9:13:18,1,7,2,1,4,0.31,0.9072,38.66,
2020-07-14 9:16:48,1,8,1,4,5,0.39,0.9286,39.46,
2020-07-14 9:27:20,1,12,2,4,8,0.40,0.9628,39.91,
2020-07-14 10:02:42,1,2,2,2,1,7.07,0.9699,40.95,
2020-07-14 10:13:15,1,7,2,1,4,0.53,0.9317,37.64,
2020-07-14 11:02:42,1,2,2,2,1,6.48,0.9703,41.38,
2020-07-14 11:13:15,1,7,2,1,4,0.45,0.9257,42.16,
2020-07-14 11:16:43,1,8,1,4,5,0.43,0.9292,43.37,
2020-07-14 11:23:46,1,10,2,3,7,0.55,0.9718,41.49,
2020-07-14 11:27:15,1,12,2,4,8,0.36,0.9044,43.46,
2020-07-14 12:02:42,1,2,2,2,1,4.97,0.9678,44.42,
2020-07-14 12:13:18,1,7,2,1,4,0.42,0.9015,41.81,
2020-07-14 12:20:14,1,9,1,2,6,0.52,0.9473,43.32,
2020-07-14 12:27:12,1,12,2,4,8,0.40,0.9795,42.27,
2020-07-14 13:02:42,1,2,2,2,1,4.77,0.9675,43.33,
2020-07-14 13:06:14,1,4,1,1,2,0.51,0.9069,43.72,
2020-07-14 13:23:39,1,10,2,3,7,0.34,0.9204,42.22,
2020-07-14 13:27:10,1,12,2,4,8,0.42,0.9575,43.03,
2020-07-14 14:02:42,1,2,2,2,1,6.08,0.9882,47.44,
2020-07-14 14:06:14,1,4,1,1,2,0.78,0.9337,49.27,
2020-07-14 14:16:44,1,8,1,4,5,6.68,0.9018,43.68,
2020-07-14 15:06:12,1,4,1,1,2,7.26,0.9297,43.96,
2020-07-14 15:13:13,1,7,2,1,4,6.29,0.9167,45.67,
2020-07-14 15:23:42,1,10,2,3,7,8.65,0.9172,43.9,
2020-07-14 15:27:11,1,12,2,4,8,5.53,0.9817,44.38,
2020-07-14 16:13:10,1,7,2,1,4,5.81,0.9747,43.82,
2020-07-14 16:16:39,1,8,1,4,5,3.55,0.9036,43.36,
2020-07-14 16:20:09,1,9,1,2,6,4.13,0.9144,44.45,
2020-07-14 16:23:37,1,10,2,3,7,6.28,0.9863,43.36,
2020-07-14 16:27:05,1,12,2,4,8,4.25,0.974,43.38,
2020-07-14 17:06:13,1,4,1,1,2,6.06,0.9721,40.8,
2020-07-14 17:13:16,1,7,2,1,4,3.95,0.9694,42.08,
2020-07-14 17:16:44,1,8,1,4,5,3.87,0.9761,42.62,
2020-07-14 17:27:15,1,12,2,4,8,4.91,0.9311,41.05,
2020-07-14 18:06:12,1,4,1,1,2,4.54,0.9285,39.2,
2020-07-14 18:13:11,1,7,2,1,4,6.38,0.9763,39,
2020-07-14 18:16:39,1,8,1,4,5,2.90,0.925,39.15,
2020-07-14 18:23:38,1,10,2,3,7,5.21,0.9925,38.82,
2020-07-14 19:06:12,1,4,1,1,2,4.90,0.9484,36.5,
2020-07-14 19:13:13,1,7,2,1,4,2.93,0.9546,36,
2020-07-14 19:16:46,1,8,1,4,5,3.16,0.9228,36.07,
2020-07-14 19:20:17,1,9,1,2,6,2.99,0.9591,35.79,
2020-07-14 19:23:49,1,10,2,3,7,9.63,0.9574,35.67,
2020-07-14 19:27:18,1,12,2,4,8,3.38,0.9874,35.4,
2020-07-14 20:06:12,1,4,1,1,2,4.91,0.9825,33.56,
2020-07-14 20:13:15,1,7,2,1,4,2.51,0.9864,33.06,
2020-07-14 20:16:48,1,8,1,4,5,2.93,0.9706,33.06,
2020-07-14 20:20:16,1,9,1,2,6,3.44,0.9569,33.02,
2020-07-14 20:27:19,1,12,2,4,8,2.75,0.9669,33.38,
2020-07-14 21:06:13,1,4,1,1,2,7.40,0.9842,31.95,
2020-07-14 21:13:15,1,7,2,1,4,3.47,0.9905,31.29,
2020-07-14 21:16:44,1,8,1,4,5,2.73,0.9669,31.38,
2020-07-14 21:20:17,1,9,1,2,6,2.83,0.9749,31.23,
2020-07-14 21:23:50,1,10,2,3,7,3.37,0.9635,31.46,
2020-07-14 21:27:23,1,12,2,4,8,2.51,0.9483,31.58,
2020-07-14 22:06:13,1,4,1,1,2,5.91,0.9883,30.45,
2020-07-14 22:13:16,1,7,2,1,4,2.73,0.9808,30.19,
2020-07-14 22:16:49,1,8,1,4,5,3.74,0.9929,30.31,
2020-07-14 22:20:18,1,9,1,2,6,2.51,0.9789,30.19,
2020-07-14 22:23:47,1,10,2,3,7,3.50,0.9682,30.4,
2020-07-14 22:27:16,1,12,2,4,8,2.40,0.9719,30.55,
2020-07-14 23:06:17,1,4,1,1,2,6.78,0.9897,30.37,
2020-07-14 23:13:21,1,7,2,1,4,4.23,0.9763,29.99,
2020-07-14 23:16:51,1,8,1,4,5,2.94,0.9375,29.95,
2020-07-14 23:20:20,1,9,1,2,6,2.01,0.9813,29.81,
2020-07-14 23:23:53,1,10,2,3,7,3.38,0.9316,29.73,
2020-07-14 23:27:26,1,12,2,4,8,2.69,0.9736,29.48,
2020-07-15 0:06:17,1,4,1,1,2,6.56,0.97,29.29,
2020-07-15 0:13:20,1,7,2,1,4,2.78,0.973,29.74,
2020-07-15 0:16:52,1,8,1,4,5,6.94,0.9203,29.82,
2020-07-15 0:27:26,1,12,2,4,8,3.09,0.9053,29.7,
2020-07-15 1:06:14,1,4,1,1,2,5.83,0.9315,29.45,
2020-07-15 1:13:14,1,7,2,1,4,2.61,0.9707,29.16,
2020-07-15 1:16:47,1,8,1,4,5,2.99,0.9836,29.04,
2020-07-15 1:23:53,1,10,2,3,7,5.98,0.9885,28.49,
2020-07-15 1:27:25,1,12,2,4,8,3.04,0.9905,28.44,
2020-07-15 2:06:13,1,4,1,1,2,7.23,0.9389,29.2,
2020-07-15 2:13:13,1,7,2,1,4,3.56,0.9632,28.54,
2020-07-15 2:16:43,1,8,1,4,5,3.23,0.9916,28.6,
2020-07-15 2:20:15,1,9,1,2,6,3.27,0.9509,28.33,
2020-07-15 2:23:46,1,10,2,3,7,3.66,0.9871,28.4,
2020-07-15 2:27:19,1,12,2,4,8,3.24,0.9986,28.3,
2020-07-15 3:06:17,1,4,1,1,2,4.23,0.9823,26.72,
2020-07-15 3:13:19,1,7,2,1,4,2.86,0.9983,26.78,
2020-07-15 3:16:48,1,8,1,4,5,2.88,0.9935,26.79,
2020-07-15 3:20:20,1,9,1,2,6,2.82,0.995,26.55,
2020-07-15 3:23:49,1,10,2,3,7,3.73,0.9968,26.61,
2020-07-15 3:27:18,1,12,2,4,8,3.49,0.9863,26.55,
2020-07-15 4:06:16,1,4,1,1,2,4.54,0.9991,26.13,
2020-07-15 4:13:19,1,7,2,1,4,2.53,0.9974,25.68,
2020-07-15 4:16:48,1,8,1,4,5,2.91,0.9948,25.79,
2020-07-15 4:20:21,1,9,1,2,6,2.49,0.9913,25.89,
2020-07-15 4:23:54,1,10,2,3,7,3.55,0.9902,25.93,
2020-07-15 4:27:27,1,12,2,4,8,3.27,0.9981,25.87,
2020-07-15 5:06:17,1,4,1,1,2,4.66,0.9985,25.71,
2020-07-15 5:13:19,1,7,2,1,4,2.87,0.9993,25.13,
2020-07-15 5:16:48,1,8,1,4,5,2.93,0.9953,25.05,
2020-07-15 5:20:17,1,9,1,2,6,2.35,0.9968,24.89,
2020-07-15 5:23:50,1,10,2,3,7,3.38,0.9966,25.09,
2020-07-15 5:27:23,1,12,2,4,8,3.33,0.9992,25.15,
2020-07-15 6:06:15,1,4,1,1,2,4.39,0.9954,25.4,
2020-07-15 6:13:17,1,7,2,1,4,2.28,0.9963,25.37,
2020-07-15 6:16:50,1,8,1,4,5,3.04,0.9962,25.74,
2020-07-15 6:20:19,1,9,1,2,6,2.57,0.9859,26.05,
2020-07-15 6:23:49,1,10,2,3,7,3.96,0.9964,26.71,
2020-07-15 6:27:18,1,12,2,4,8,3.09,0.9988,26.93,
2020-07-15 7:06:13,1,4,1,1,2,4.30,0.9961,27.68,
2020-07-15 7:13:19,1,7,2,1,4,2.37,0.9964,29.42,
2020-07-15 7:16:52,1,8,1,4,5,3.36,0.9985,30.5,
2020-07-15 7:20:21,1,9,1,2,6,2.55,0.9971,30.61,
2020-07-15 7:23:54,1,10,2,3,7,4.81,0.9968,31.06,
2020-07-15 7:27:25,1,12,2,4,8,2.71,0.9906,31.75,
2020-07-15 8:06:14,1,4,1,1,2,4.39,0.999,34.88,
2020-07-15 8:13:19,1,7,2,1,4,2.48,0.9962,34.29,
2020-07-15 8:16:52,1,8,1,4,5,2.65,0.9956,35.21,
2020-07-15 8:20:25,1,9,1,2,6,2.19,0.9971,35.07,
2020-07-15 8:23:58,1,10,2,3,7,2.84,0.9891,34.59,
2020-07-15 8:27:30,1,12,2,4,8,2.90,0.9963,35.2,
2020-07-15 10:06:11,1,4,1,1,2,5.72,0.9841,41.18,
2020-07-15 10:16:38,1,8,1,4,5,2.73,0.988,39.29,
2020-07-15 10:20:10,1,9,1,2,6,2.28,0.9675,41.24,
2020-07-15 10:23:41,1,10,2,3,7,3.90,0.9891,41.94,
2020-07-15 11:06:12,1,4,1,1,2,4.80,0.9715,40.27,
2020-07-15 11:09:42,1,5,1,3,3,0.58,0.9531,41.81,
2020-07-15 11:13:11,1,7,2,1,4,4.67,0.9549,41.8,
2020-07-15 11:20:10,1,9,1,2,6,2.57,0.9865,43.07,
2020-07-15 11:23:41,1,10,2,3,7,3.29,0.9915,41.82,
2020-07-15 11:27:10,1,12,2,4,8,3.26,0.9839,39.79,
2020-07-15 12:06:15,1,4,1,1,2,5.36,0.9806,34.12,
2020-07-15 12:16:44,1,8,1,4,5,3.49,0.9551,33.02,
2020-07-15 12:20:13,1,9,1,2,6,1.85,0.9054,33.07,
2020-07-15 12:23:44,1,10,2,3,7,4.32,0.9829,33.28,
2020-07-15 12:27:13,1,12,2,4,8,3.12,0.9006,33.35,
2020-07-15 13:02:43,1,2,2,2,1,9.91,0.9772,30.97,
2020-07-15 13:06:16,1,4,1,1,2,4.12,0.9852,30.84,
2020-07-15 13:13:19,1,7,2,1,4,2.32,0.9577,29.68,
2020-07-15 13:16:48,1,8,1,4,5,1.77,0.9206,29.47,
2020-07-15 13:20:16,1,9,1,2,6,1.88,0.9092,29.71,
2020-07-15 13:27:15,1,12,2,4,8,2.61,0.9633,26.29,
2020-07-15 14:02:43,1,2,2,2,1,7.53,0.9404,24.63,
2020-07-15 14:06:15,1,4,1,1,2,3.69,0.9836,25.43,
2020-07-15 14:19:34,1,8,1,4,5,1.91,0.9435,24.07,
2020-07-15 14:23:07,1,9,1,2,6,1.31,0.961,24.22,
2020-07-15 14:26:36,1,10,2,3,7,2.06,0.9361,25.34,
2020-07-15 14:30:05,1,12,2,4,8,2.17,0.9768,25.54,
2020-07-15 15:02:43,1,2,2,2,1,11.90,0.9662,25.55,
2020-07-15 15:06:16,1,4,1,1,2,2.75,0.9302,26.02,
2020-07-15 15:19:37,1,8,1,4,5,1.30,0.9637,26.47,
2020-07-15 15:23:10,1,9,1,2,6,1.45,0.9204,26.46,
2020-07-15 15:26:42,1,10,2,3,7,3.63,0.9139,26.52,
2020-07-15 15:30:11,1,12,2,4,8,1.85,0.9532,26.17,
2020-07-15 16:02:43,1,2,2,2,1,8.66,0.9605,23.14,
2020-07-15 17:02:43,1,2,2,2,1,13.45,0.9959,25.91,
2020-07-15 17:06:13,1,4,1,1,2,4.46,0.9925,26.82,
2020-07-15 17:16:43,1,8,1,4,5,3.06,0.9916,27.65,
2020-07-15 17:20:12,1,9,1,2,6,3.91,0.9552,27.48,
2020-07-15 17:23:41,1,10,2,3,7,3.33,0.9699,27.33,
2020-07-15 17:27:10,1,12,2,4,8,2.57,0.9894,27.53,
2020-07-15 18:02:43,1,2,2,2,1,9.28,0.9865,27.89,
2020-07-15 18:06:16,1,4,1,1,2,4.09,0.9848,28.09,
2020-07-15 18:13:17,1,7,2,1,4,2.44,0.9796,28.08,
2020-07-15 18:16:47,1,8,1,4,5,1.76,0.9855,28.56,
2020-07-15 18:23:49,1,10,2,3,7,2.46,0.9853,29.03,
2020-07-15 18:27:22,1,12,2,4,8,2.37,0.9856,29.25,
2020-07-15 19:02:43,1,2,2,2,1,9.04,0.9921,28.92,
2020-07-15 19:06:17,1,4,1,1,2,3.63,0.9921,29.02,
2020-07-15 19:13:16,1,7,2,1,4,2.34,0.9984,28.38,
2020-07-15 19:16:47,1,8,1,4,5,2.50,0.993,28.48,
2020-07-15 19:20:16,1,9,1,2,6,2.37,0.994,28.32,
2020-07-15 19:23:45,1,10,2,3,7,4.71,0.9912,28.03,
2020-07-15 19:27:14,1,12,2,4,8,2.76,0.9952,27.99,
2020-07-15 20:02:43,1,2,2,2,1,8.37,0.9955,25.59,
2020-07-15 20:06:16,1,4,1,1,2,4.51,0.9872,25.46,
2020-07-15 20:13:21,1,7,2,1,4,1.67,0.991,24.91,
2020-07-15 20:16:54,1,8,1,4,5,1.99,0.9891,24.97,
2020-07-15 20:20:27,1,9,1,2,6,1.81,0.9814,24.89,
2020-07-15 20:23:56,1,10,2,3,7,5.31,0.9915,25.01,
2020-07-15 20:27:26,1,12,2,4,8,1.99,0.9951,24.9,
2020-07-15 21:02:43,1,2,2,2,1,10.14,0.9904,24.41,
2020-07-15 21:06:13,1,4,1,1,2,3.04,0.9827,24.48,
2020-07-15 21:13:13,1,7,2,1,4,2.12,0.979,24.31,
2020-07-15 21:16:42,1,8,1,4,5,1.94,0.9806,24.52,
2020-07-15 21:20:15,1,9,1,2,6,2.24,0.978,24.65,
2020-07-15 21:23:44,1,10,2,3,7,4.42,0.9966,24.87,
2020-07-15 21:27:15,1,12,2,4,8,2.58,0.9981,24.92,
2020-07-15 22:02:43,1,2,2,2,1,7.98,0.99,25.59,
2020-07-15 22:06:17,1,4,1,1,2,4.68,0.9914,25.08,
2020-07-15 22:13:19,1,7,2,1,4,3.02,0.9939,24.8,
2020-07-15 22:16:51,1,8,1,4,5,2.12,0.9912,24.91,
2020-07-15 22:20:20,1,9,1,2,6,2.01,0.9759,24.88,
2020-07-15 22:23:49,1,10,2,3,7,2.41,0.9679,24.7,
2020-07-15 22:27:18,1,12,2,4,8,2.22,0.9637,24.82,
2020-07-15 23:02:43,1,2,2,2,1,8.63,0.9972,22.84,
2020-07-15 23:06:17,1,4,1,1,2,3.40,0.9972,22.72,
2020-07-15 23:13:18,1,7,2,1,4,1.82,0.9975,22.49,
2020-07-15 23:16:47,1,8,1,4,5,1.92,0.9926,22.38,
2020-07-15 23:20:20,1,9,1,2,6,1.52,0.9953,21.96,
2020-07-15 23:23:53,1,10,2,3,7,3.48,0.9947,21.66,
2020-07-15 23:27:22,1,12,2,4,8,1.94,0.9915,21.59,
2020-07-16 0:02:43,1,2,2,2,1,9.01,0.996,22.64,
2020-07-16 0:06:17,1,4,1,1,2,2.97,0.9974,22.85,
2020-07-16 0:13:19,1,7,2,1,4,1.61,0.9937,22.61,
2020-07-16 0:16:48,1,8,1,4,5,2.44,0.997,23.04,
2020-07-16 0:20:17,1,9,1,2,6,1.14,0.9857,22.53,
2020-07-16 0:23:49,1,10,2,3,7,3.24,0.9961,22.12,
2020-07-16 0:27:18,1,12,2,4,8,2.15,0.9965,22.22,
2020-07-16 1:02:43,1,2,2,2,1,8.93,0.9959,22.23,
2020-07-16 1:06:17,1,4,1,1,2,3.33,0.9978,22.17,
2020-07-16 1:13:19,1,7,2,1,4,2.40,0.9867,21.71,
2020-07-16 1:16:49,1,8,1,4,5,1.88,0.9804,22.15,
2020-07-16 1:20:18,1,9,1,2,6,2.26,0.9946,22.1,
2020-07-16 1:23:49,1,10,2,3,7,3.30,0.9945,22.11,
2020-07-16 1:27:18,1,12,2,4,8,2.34,0.9942,22,
2020-07-16 2:02:43,1,2,2,2,1,9.40,0.987,22.2,
2020-07-16 2:06:13,1,4,1,1,2,3.23,0.9817,22.36,
2020-07-16 2:13:15,1,7,2,1,4,1.54,0.9926,21.77,
2020-07-16 2:16:48,1,8,1,4,5,1.67,0.9858,21.77,
2020-07-16 2:20:20,1,9,1,2,6,1.57,0.9891,21.62,
2020-07-16 2:23:53,1,10,2,3,7,3.79,0.989,21.4,
2020-07-16 2:27:23,1,12,2,4,8,3.63,0.9798,21.62,
2020-07-16 3:02:43,1,2,2,2,1,8.68,0.9944,21.39,
2020-07-16 3:06:13,1,4,1,1,2,2.52,0.9922,21.56,
2020-07-16 3:13:17,1,7,2,1,4,2.23,0.988,21.84,
2020-07-16 3:16:48,1,8,1,4,5,1.44,0.9703,21.91,
2020-07-16 3:20:20,1,9,1,2,6,1.76,0.9877,21.69,
2020-07-16 3:23:49,1,10,2,3,7,2.61,0.9872,21.74,
2020-07-16 3:27:22,1,12,2,4,8,2.63,0.9968,21.75,
2020-07-16 4:02:43,1,2,2,2,1,8.01,0.9669,23.07,
2020-07-16 4:06:17,1,4,1,1,2,3.47,0.9963,23.2,
2020-07-16 4:13:21,1,7,2,1,4,1.86,0.9961,21.95,
2020-07-16 4:16:50,1,8,1,4,5,2.16,0.9946,21.89,
2020-07-16 4:20:19,1,9,1,2,6,1.81,0.9935,21.52,
2020-07-16 4:23:48,1,10,2,3,7,3.11,0.9956,21.28,
2020-07-16 4:27:17,1,12,2,4,8,1.81,0.9973,21.1,
2020-07-16 5:02:43,1,2,2,2,1,9.33,0.9961,20.76,
2020-07-16 5:06:13,1,4,1,1,2,2.44,0.9834,21.31,
2020-07-16 5:13:16,1,7,2,1,4,1.96,0.9954,21.72,
2020-07-16 5:16:47,1,8,1,4,5,2.09,0.9968,21.87,
2020-07-16 5:20:16,1,9,1,2,6,1.52,0.9779,21.53,
2020-07-16 5:23:47,1,10,2,3,7,2.87,0.9975,21.48,
2020-07-16 5:27:20,1,12,2,4,8,1.82,0.9818,21.56,
2020-07-16 6:02:43,1,2,2,2,1,7.16,0.9927,20.83,
2020-07-16 6:06:17,1,4,1,1,2,2.87,0.9985,20.85,
2020-07-16 6:13:20,1,7,2,1,4,1.59,0.9949,21.01,
2020-07-16 6:16:49,1,8,1,4,5,1.79,0.9857,21.32,
2020-07-16 6:20:22,1,9,1,2,6,1.48,0.9711,21.3,
2020-07-16 6:23:54,1,10,2,3,7,2.26,0.9937,21.85,
2020-07-16 6:27:23,1,12,2,4,8,2.77,0.9971,22.64,
2020-07-16 7:02:43,1,2,2,2,1,7.05,0.998,30.29,
2020-07-16 7:06:17,1,4,1,1,2,2.91,0.998,29.04,
2020-07-16 7:13:20,1,7,2,1,4,1.57,0.9973,30.52,
2020-07-16 7:16:49,1,8,1,4,5,2.38,0.9978,30.87,
2020-07-16 7:20:20,1,9,1,2,6,2.15,0.9942,31.45,
2020-07-16 7:27:23,1,12,2,4,8,2.04,0.9653,32.94,
2020-07-16 8:02:43,1,2,2,2,1,6.92,0.9914,31.87,
2020-07-16 8:06:13,1,4,1,1,2,2.10,0.9942,31.58,
2020-07-16 8:13:16,1,7,2,1,4,1.72,0.9868,30.53,
2020-07-16 8:16:45,1,8,1,4,5,1.78,0.9896,32.03,
2020-07-16 8:20:14,1,9,1,2,6,1.23,0.996,31.67,
2020-07-16 8:23:43,1,10,2,3,7,1.74,0.9523,31.19,
2020-07-16 8:27:12,1,12,2,4,8,2.12,0.9942,31.92,
2020-07-16 9:02:42,1,2,2,2,1,6.65,0.993,34.86,
2020-07-16 9:06:11,1,4,1,1,2,4.55,0.991,36.57,
2020-07-16 9:13:14,1,7,2,1,4,1.64,0.9726,34.58,
2020-07-16 9:16:46,1,8,1,4,5,1.94,0.9873,36.42,
2020-07-16 9:20:14,1,9,1,2,6,1.37,0.9684,37.57,
2020-07-16 9:23:45,1,10,2,3,7,3.46,0.9929,37.98,
2020-07-16 9:27:14,1,12,2,4,8,2.92,0.9921,37.87,
2020-07-16 10:02:42,1,2,2,2,1,7.48,0.9353,38.65,
2020-07-16 10:06:14,1,4,1,1,2,2.25,0.9869,39.99,
2020-07-16 10:13:17,1,7,2,1,4,1.59,0.9946,37.49,
2020-07-16 10:16:45,1,8,1,4,5,1.64,0.974,38.63,
2020-07-16 10:20:17,1,9,1,2,6,1.66,0.992,38.46,
2020-07-16 10:23:49,1,10,2,3,7,2.62,0.9921,39.92,
2020-07-16 10:27:22,1,12,2,4,8,4.34,0.9859,39.2,
2020-07-16 11:02:42,1,2,2,2,1,6.53,0.9765,41.7,
2020-07-16 11:06:15,1,4,1,1,2,2.48,0.973,42.65,
2020-07-16 11:13:18,1,7,2,1,4,2.09,0.9852,41.42,
2020-07-16 11:16:46,1,8,1,4,5,2.01,0.9874,42.83,
2020-07-16 11:20:18,1,9,1,2,6,1.87,0.988,42.78,
2020-07-16 11:23:49,1,10,2,3,7,2.17,0.9725,41.51,
2020-07-16 11:27:18,1,12,2,4,8,3.41,0.9939,40.37,
2020-07-16 12:02:42,1,2,2,2,1,4.76,0.9636,38.5,
2020-07-16 12:06:12,1,4,1,1,2,2.13,0.9811,38.84,
2020-07-16 12:13:12,1,7,2,1,4,1.94,0.9841,38.68,
2020-07-16 12:16:44,1,8,1,4,5,2.06,0.9687,38.91,
2020-07-16 12:20:12,1,9,1,2,6,1.62,0.9595,40.71,
2020-07-16 12:23:43,1,10,2,3,7,2.93,0.9765,42.74,
2020-07-16 12:27:12,1,12,2,4,8,2.20,0.9612,41.44,
2020-07-16 13:02:42,1,2,2,2,1,4.92,0.9605,41.45,
2020-07-16 13:06:14,1,4,1,1,2,2.70,0.9396,42.08,
2020-07-16 13:13:16,1,7,2,1,4,1.40,0.9664,42.17,
2020-07-16 13:16:48,1,8,1,4,5,1.73,0.9271,40.73,
2020-07-16 13:20:16,1,9,1,2,6,2.08,0.9523,43.53,
2020-07-16 13:27:16,1,12,2,4,8,4.17,0.9231,43.33,
2020-07-16 14:02:42,1,2,2,2,1,5.50,0.9918,43.23,
2020-07-16 14:06:14,1,4,1,1,2,3.04,0.9716,46.42,
2020-07-16 14:13:19,1,7,2,1,4,2.74,0.9131,45.69,
2020-07-16 14:23:44,1,10,2,3,7,2.92,0.9305,41.78,
2020-07-16 14:27:13,1,12,2,4,8,1.83,0.939,41.71,
2020-07-16 15:02:42,1,2,2,2,1,5.93,0.981,40.35,
2020-07-16 15:06:14,1,4,1,1,2,2.70,0.9916,40.09,
2020-07-16 15:13:18,1,7,2,1,4,1.72,0.9945,38.85,
2020-07-16 15:16:49,1,8,1,4,5,1.97,0.9931,39.36,
2020-07-16 15:20:17,1,9,1,2,6,1.72,0.9447,39.47,
2020-07-16 15:27:18,1,12,2,4,8,2.82,0.9694,41.4,
2020-07-16 16:02:42,1,2,2,2,1,5.07,0.9761,45.25,
2020-07-16 16:06:11,1,4,1,1,2,2.85,0.9211,44.24,
2020-07-16 16:13:13,1,7,2,1,4,2.51,0.9133,43.4,
2020-07-16 16:20:11,1,9,1,2,6,2.02,0.9155,41.26,
2020-07-16 16:23:39,1,10,2,3,7,2.32,0.9118,41.14,
2020-07-16 17:02:42,1,2,2,2,1,3.32,0.9615,36.55,
2020-07-16 17:06:14,1,4,1,1,2,3.28,0.9958,36.49,
2020-07-16 17:13:16,1,7,2,1,4,1.51,0.9866,37.37,
2020-07-16 17:16:48,1,8,1,4,5,2.59,0.988,37.91,
2020-07-16 17:20:18,1,9,1,2,6,1.66,0.9888,38.29,
2020-07-16 17:23:50,1,10,2,3,7,2.74,0.9895,37.13,
2020-07-16 17:27:23,1,12,2,4,8,2.64,0.9787,36.15,
