date,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,pulseduration_S,pulseduration_M,pulseduration_L,max_pulse_duration,rain_event,days_since_rain_event
2012-12-31,NA,-0.875,0,0,NA,77.37668311,NA,NA,NA,NA,NA,NA,NA,NA,0.03903564358,NA,0,0,0,0,0,0
2013-01-01,0.584125,1.0834791666666665,0,0,65.57874648104166,60.6430125375,11.895833333333334,12.145833333333334,7.600833333333333,2.3458333333229167,4.416666666666667,7.260416666666667,-0.02824675582833333,0.12064090637716667,0.092394150550625,0.10836368456704593,0,0,0,0,0,1
2013-01-02,3.7318333333333333,4.2610625,0,0,47.25265935604167,43.0661194,11.9375,12.395833333333334,7.616875,2.7270833333333333,4.35,6.685416666666667,0.022782286092499996,0.12175463060520833,0.144536916696875,0.1161968657723633,0,0,0,0,0,2
2013-01-03,1.8267499999999999,2.0977916666666667,0,0,69.83282627333334,66.866326970625,11.75,12.5,7.742083333333333,3.1166666666666667,4.502083333333333,6.564583333333333,-0.062056970453541666,0.19618035882770835,0.134123388384375,0.1437763779094749,0,0,0,0,0,3
2013-01-04,0.6270208333333334,0.9573125,0,0,77.012117101875,73.49654748958334,11.375,12.729166666666666,7.679166666666666,3.0729166666666665,4.7125,6.554166666666667,-0.012926093239479164,0.11991711934729167,0.10699102610666666,0.1103500881545511,0,0,0,0,0,4
2013-01-05,4.277541666666667,5.194916666666667,0,0,48.17856730583333,42.953908104583334,11.1875,12.6875,7.721875,2.99375,4.591666666666667,6.447916666666667,0.067949570198125,0.08440025162291667,0.15234982182104168,0.07979607873154136,0,0,0,0,0,5
2013-01-06,5.867666666666667,6.3443958333333335,0,0,36.2800793025,33.264552540208335,11.229166666666666,12.708333333333334,7.720625,3.652083333333333,4.766666666666667,6.391666666666667,0.3151691433479167,0.031572307041875,0.34674145039375,0.20225184745974867,0,0,0,0,0,6
2013-01-07,5.736916666666667,6.0728333333333335,0,0,51.29644173958334,48.03081844645833,11.291666666666666,12.895833333333334,7.7075,5.03125,6.04375,6.835416666666667,0.010839941299604165,0.22993831335861667,0.24077825465625,0.09352403609024158,0,0,0,0,0,7
2013-01-08,5.747208333333333,6.380729166666667,0,0,48.372309236041666,44.11025364333333,11.166666666666666,13.145833333333334,7.795208333333333,5.604166666666667,7.091666666666667,7.485416666666667,0.18030052862745832,0.13719230384791667,0.3174928324625,0.13309762558616475,0,0,0,0,0,8
2013-01-09,8.1393125,8.802875,0,0,31.30914238625,27.72259742583333,11,12.9375,7.650625,5.260416666666667,6.722916666666666,7.5125,0.16570190810166666,0.28717198011520834,0.45287388821458335,0.22663947575827914,0,0,0,0,0,9
2013-01-10,8.39,9.025875,0,0,39.456330511875,35.43065086270833,10.708333333333334,12.854166666666666,7.7752083333333335,5.897916666666666,6.845833333333333,7.620833333333334,0.34086637479166665,0.17535339061229166,0.5162197654020834,0.19472943839113036,0,0,0,0,0,10
2013-01-11,0.5679166666666666,0.7944375,0,0,52.31485267895833,49.813934121875,10.625,12.9375,7.9070833333333335,5.241666666666666,7.552083333333333,8.04375,0.20602929760104166,0.107016185383125,0.31304548298125,0.3379531830871111,0,0,0,0,0,11
2013-01-12,-3.1481875,-2.3773541666666667,0,0,40.616658868125,36.646102085,9.604166666666666,12,7.801458333333334,1.01041666665695,3.7541666666666664,6.897916666666666,0.04232173193938125,0.07983546947770834,0.12215720142666667,0.03373512046693838,0,0,0,0,0,12
2013-01-13,-2.1021875,-1.4433958333333332,0,0,32.23661938083333,28.91433712,8.604166666666666,11.8125,7.767916666666666,0.38125,2.6104166666666666,5.502083333333333,0.0050437504481249985,0.14553684883145832,0.15058059929354167,0.12484831998724796,0,0,0,0,0,13
