model,RMSE,MAPE,R2
Combined15,0.3136711812971374,45.4572284244535,0.8075854170309942
Pulse15,0.6215546631161845,123.94803555292835,0.534805803958718
NonPulse15,0.4678220490462793,43.93333704838892,0.6058149799894068
MeanAll,0.3519473093040333,49.72708959137216,0.7577683631773964
